text,topic,question
"Oxidation numbers can vary quite a lot for some atoms, but are very consistent for others. Oxygen is actually among the most reliable atoms, as far as oxidation number. It nearly always counts for 2-, except when it's part of a peroxide, when it is instead 1-. Fluorine has a 1-, with no exceptions. Other halogens also tend to have 1-, unless there is oxygen involved, as in polyatomic ions like chlorate and chlorite. This makes sense if you think about electronegativity. Halogens are pretty electronegative, and tend to pull an electron toward them. But if you compare the actual EN values, oxygen is actually more electronegative than anything but fluorine, and tends to pull electrons away from even chlorine and the rest. Fluorine is always 1-, because it pulls hardest, and only wants one electron, while oxygen pulls almost as hard, and wants two electrons, so it is almost always 2-. It's also important to remember that in a pure element, the oxidation number is 0, *by definition*. So, in O2, both oxygen atoms have oxidation number 0, just as both fluorines in F2 have 0, and so on.",Oxidation state,How to work out what its oxidation number is?
"Facilitated delineates that something is required for diffusion to take place, that is, the small transmembrane protein that allows the movement of the water molecules across the plasma membranes. Generally speaking, the movement of water via osmosis is through simple diffusion of the water molecules across a semi-permeable membrane, from a more dilute to a more concentrated region. Since this diffusion process does not require the additional 'help' of an embedded integral protein, the diffusion is not 'facilitated.'",Diffusion,Why is movement of water not considered facilitated diffusion?
Quantum Physics can be used synonimically to Quantum Mechanics and even Quantum Theory. Quantum Physics is theory which try to explain why Classical Mechanics doesn't work in cases,Quantum mechanics,What is its difference to Quantum Mechanics?
"In meiosis 1, they line up as bivalents or tetrads (1 pair of homologous chromosomes) along the metaphase plate, unlike mitosis, where it's just single file. Their centromeres are not directly in the middle, but on either side.",Centromere,Are they actually on opposite sides of the equatorial plate without having their centromeres directly in the middle?
"We cannot obtain usable nitrogen through breathing. Nitrogen has to be fixed into a usable form first before it is consumed by heterotrophs. We can't take in nitrogen in the atmosphere because it is N2. Nitrogen-fixing bacteria converts the N2 into ammonium (NH4), which gets converted into nitrates (NO3) and nitrites (NO2-). Plants can take this form in, and help convert nitrogen into amino acids/proteins and nucleic acids.",Nitrogen,Do we also breathe in the nitrogen in the atmosphere and do we take in this nitrogen?
"The permitivity of free space is a measure of how easily the electric field travels through free space. Electric fields penetrate other materials differently than they do free space. When we measure that, we are measuring the permittivity of those materials, When we compare those materials to the permittivity of free space by calculating a ratio of the permittivity numbers, that's relative permittivity. IOW we can say that free space has a permittivity of 1 and make everything else a ratio of that.",Permittivity,What is absolute and relative permitivity?
"We know because of the magnetic field. Theoretically, we can't prove the existence of the core of the earth but there is no other way that the magnetic field of the earth and other planets are possible. It even explains the lack of magnetic field for things like the moon or Mars. Everything in science is a theory. We have seismic data that suggests there is something very dense at the center of the earth. We know that the core gives off heat. It makes sense that the heaviest elements would go to the center of the planet as the planet formed.",Earth,Is that Earth (or any other planet in solar system) has a core a theory?
In the 3rd shell there is 3s2 3p6 3d10 in a full shell and even before the transition metals there are d orbitals since while the 3s and 3p orbitals fill the 3d orbitals form from the electrons having more places to go. This makes all elements past neon hypervalent and thus Iron is able to have a +7 oxidation state instead of just +3 like you would expect from an oxide.,Atomic orbital,How does Si have d orbitals?
"Hydrogenation of benzene to cyclohexane is carried out commercially with specialized catalysts at pressures of 20 atm to 30 atm and temperatures of 300  degree Celsius to 350  degree Celsius. It *IS* possible to hydrogenate benzene in the lab in the presence of rhodium and palladium catalysts at room temperature and modest pressures, but it is much cheaper to buy the commercially produced cyclohexane.",Hydrogenation,What conditions are then needed for hydrogenation to happen?
"The main principle is that when you neutralise an acid and base, moles acid = moles base You should also have the volume of base that was titrated because that will have been in the burette so was measured. concentration = moles / volume Or rearranged: moles = concentration x volume So calculate moles of base If the stoichiometry from the balanced equation is 1:1 then this is equal to the moles of acid. If it isn't then you'll need to account for that. Now you have moles of acid, and the initial volume so just use the previous equation: concentration = moles / volume Now I've explained the method, there is a shortcut you can use here. C1V1/n1 = C2V2/n2 where n1 and n2 are the coefficients of the acid and base in the balanced equation. You will always know 5/6 of the values in that.",Acid,How would you find the molarity of the acid?
"only a few surface molecules have the required amount of kinetic energy to vaporise, we add heat to the liquid to add kinetic energy to the molecules so that an even larger amount of them vaporise. The latent heat of vaporisation is obtained from the surroundings and this makes the process really slow.",Liquid,How does the entire bulk of a liquid kept in open air evaporate ?
"Acceleration implies force. If we have constant velocity that means that we don't have acceleration. If we don't have an acceleration, that means that there's no force involved. In real life, yes. If we only focus on classical mechanics and not the physics behind it that explains more profoundly why it works like that, I can't think of any force that doesn't have an opposing force. Every material has an associate coefficient of friction. If there's no force such as friction or air resistance, objects would experience a constant acceleration, meaning they would be speeding up until reaching the speed of light all the time. Because if we are at a rest (0 velocity) and want to change our velocity we need a force. And that force wouldn't had a counterpart. We would be constantly accelerating, making life pretty difficult. If not, not viable.",Drag (physics),But what if there isn't a force such as friction or air resistance?
"the changing concentrations have nothing to do with the order, and in fact, the way in which they change *is* in fact the order. So, if they were not changing, then we cannot determine the order. cancelling out the effect of all but one reactant is the standard method of finding the order. The method used is called flooding. In this, all but one are taken in very high concentrations (excess) such that even if the entire reaction were to take place and our reactant (in small amount) were to be entirely consumed, the net change in the concentrations of the remaining would be negligible, and hence can be taken as zero (constant concentration). Hence all their concentration along with the actual rate constant now form a new constant which can be computed while measuring the rate with respect to one reactant only. By doing this for every reactant, the original constant can be determined. To note, although we are taking the concentrations to be constant, it is just a mathematical step (the change being closed to zero) and not in reality, since their concentrations need to change for the reaction to occur (or at least, they need to be used up)",Reagent,Is there anyway to cancel out the effect of other reactant?
"Bromine has a negative charge when it has a full octet; this makes it an negative anion so it wants to bond with a positive carbocation.(Unlike charges attract), a bromine atom is neutral when it has 7 valence electrons. If it has 8 v.e then it will have a charge of 1-. You're right that it is 'stable' with a full octet, but as it has a charge, it will still bond with another oppositely charged ion. ",Bromine,Isn't bromine still satisfied with a stable octet?
"The sodium and chlorine in salt are present as ions. When they are separated, they are separated as Na+ and Cl-. They are not particularly reactive in these forms. What makes sodium metal so reactive with water is that it can get rid of its extra electron.",Sodium,Why doesn't the sodium react with the water?
"Implicit in this question is a view that light is a wave, because waves need mediums. If light were a particle, you would not need to ask this question, right? And that puzzled physicists for about 300 years, because light does things that seem particle-like (it travels without needing a medium, for example) and it does things that seem wave-like (it diffracts, refracts, polarizes). So which is it, a particle or a wave? It is neither. Light does not care that we would like to put it in one of two categories that are familiar to us. It is its own thing. It is a thing that happens to sometimes behave in ways that seem particle-like to us, and sometimes behave in ways that seem wave-like to us, but that does not mean it is one or the other or both of those things. Newton thought light was a particle, but then for a long time the prevailing view was that it was a wave, a perspective that was reinforced by Maxwell's discovery of the equations that govern electromagnetism. Embedded in his equations was the notion that electromagnetic waves travel at a speed of 3*10^8 m/s. It was known that this was also the speed of light, so physicists concluded that light is an electromagnetic wave. This wave view, though, started to get in trouble in the late 1800's as physicists struggled and failed to find the medium that this wave was traveling through. It was not until the early 1900's that physicists, largely thanks to Einstein, finally realized that we have to accept light on its own terms rather than force it into a category that is more familiar to us.",Fast bowling,"Is light itself a medium, that others waves can travel through?"
"That could happen, but it is unlikely. Remember that there are only a few free Cl atoms at any one time, but there are lots of CH4 molecules. The chances of a Cl atom hitting a CH4 molecule are much greater than of its hitting anything else, so you are going to get mostly CH3Cl. If you have lots of Cl2, then towards the end of the reaction, when you have more CH3Cl, the Cl atom will start hitting the CH3Cl molecules and forming CHCl2. ",Chlorine,The chlorine is more reactive than the hydrogen the hydrogen should form an H2 molecule?
"The point of a system being a constant pressure system is that the pressure remains constant. Using the first law of thermodynamics, if we have a constant pressure system (let's assume a rigid container containing an ideal gas), then the internal energy of the gas increases when heat is added to the system.",Pressure,Won't the pressure of the system increase?
"At the scale of the individual molecule having a positive charge at one end and a negative charge at the other end of a molecule is very different from having no charges at all. The isoelectric point is the pH at which a molecule has a net neutral charge  while this is related to zwitterions, they are not the same thing! Zwitterions are neutral molecules that have at least one group carrying a full positive charge and another carrying a full negative charge. How charged those groups are depends on the pH",PH,How does the pH level really affect the ion's ability to become more positive or more negative?
"Apes as they exist now were NOT present when humans branched off from non-human primates.There was an ancestral population that eventually split into groups that eventually evolved into humans and apes. Natural selection depends entirely on selection pressures.That ancestral population split into two lineages that then faced different selection pressures, then they would both evolve and not necessarily compete with each other. Especially if they had different ecological niches",Ape,Why are apes still alive today?
"LiAlH4 is such a powerful reducing agent that it reduces any functional group it collides with. If there is a limited amount of LiAlH4, it will react until it is used up, but it doesn't discriminate.",Functional group,"What order of those four functional groups does the LiAlH4 react with first, second, third, fourth?"
"Lysosomes to do not excrete its contents out of the cell. Since they function as cell digestors, they literally do that - digest all the bad and unwanted engulfed material. After digesting viruses and bacteria they break them down into smaller molecules which cannot harm the cell and keep it inside of them. Usually, lysosomes have their life and collect the garbage inside of their bodies by keeping the cells clean. However, if the 'garbage' cannot be recycled via proteosomes or digested via lysosomes, the cell uses exocytosis to dispose of it _outside_ of the cell.",Lysosome,Is all the 'waste' inside a lysosome excreted outside of the cell somehow?
"If the 2s orbital bonds with a hydrogen the bond will be shorter than the bonds formed by 3 2p orbitals with hydrogen. If this was the case, ammonia would have 3 long bonds and a short bond. However, when the shape of ammonia was discovered, it was clear that all N-H bond lengths were equal, hence the idea of 2s and 2p orbitals forming individual bonds with the hydrogen was discarded and hybridization was able to explain the shape of ammonia.",Ammonia,Why Nitrogen needs sp3 Hybridization to form ammonia?
"The difference between 'log' and 'ln' is: If you just have 'log' (without a base underneath) it means it is base 10, it is implied. On the other hand if you have 'ln', it is implied that you have a base of 'e' (Euler's constant). Logarithms are largely used in a lot of different fields of study, and their base depends on the phenomenon that you are referring to (basically, you use the one that helps you the best to explain that certain phenomenon), that's why sometimes you might even find bases even different than e or 10, although these are the ones that are used the most.",Natural logarithm,Isn't the log base e is equal to ln?
"Natural selection is based upon the premise that the most fit organism for an environment (so the organism which has the best traits for a given set of circumstances) will inevitably produce the most offspring due to it being the most fit. As such it will pass on more of its genetic information to the next generation. Those organisms who are less fit for an environment, will not produce as many offspring, and their genetic information won't be as prevalent in the next generation of their species. As time progresses, the most fit organism's preferred genetic traits (the traits that made the organism fit) will become more and more prevalent in the species. That is nature selecting for the most fit organism's traits, hence the name Natural Selection.",Natural selection,This is known as Natural Selection?
"sexual reproduction evolved via natural selection. Some very primitive form of sexual reproduction (probably just sharing DNA randomly between single cells) led to greater variation in one population vs another. On a population scale, sexual reproduction clearly offers a selective advantage. The new-found variation means that the population as a whole can thrive in a wider variety of conditions because individuals are less similar to each other and the population as a whole can therefore survive in a wider variety of conditions. For example, let's say there is a population of cells that normally can survive in only dry, hot conditions. Let's say that through random mutation (which is pretty rare), one member of that population develops an allele of a gene that allows it to survive in humid conditions, and another member develops an allele of a different gene that allows it to survive in cold conditions. If the population can only reproduce asexually (i.e. by budding off clones), you would never find an individual that could survive both humidity AND cold. So, if the desert where this population of cells lives cooled AND humidified (maybe there's an ice age), none of the individuals of that asexually reproducing population would survive. BUT, if they did reproduce sexually, there could be an individual with BOTH new alleles who could survive both cold AND humidity. So in this scenario, sexual reproduction is a selective advantage over asexual reproduction. However, the original version of sexual reproduction was probably very, very simple compared to how it works in humans - remember, our version of sexual reproduction has had a ton of time to evolve its complexities.",Sexual reproduction,Why/how was sexual reproduction introduced?
"A magnet has a north pole and a south pole. If there is no magnet(no magnetic field), nuclei orient themselves randomly, hence,the energy needed to flip the alpha state to the beta state is close to 0. However, in the presence of a magnet(magnetic field), nuclei orient themselves according to the poles of a magnet, some are in the alpha state and some are in the beta state, but there are more nuclei in the alpha state because it is lower in energy, hence, it is naturally favored than the beta state",Software release life cycle,Why would any nucleus be in a beta state?
"Proteins produced in human body are not artificially ingested as pills , they can create adverse effects. Not even xenobiotics - foreign bodies in the human body.  Snake venom is also protein, cholinesterase, which affects our neural system and causes spasm - ultimately death. Those are naturally synthesized proteins (in snake body) but fatal for human.",Protein,Does it mean to much protein don't have side effects?
"It's a chain of interactions, where all levels can affect all other levels. If all the producers died off due to a disaster, the primary consumer population would drop drastically, which of course would affect the secondary consumers.",Consumer,Why does the secondary consumer still depend on the producer?
Two small lungs are simply more effective than one big lung. you can live with one lung but your lifespan will be shortened and your ability to breathe starts weakening. it also weaker than two because the body is then completely dependent on the on lung,Lung,Why do we need two lungs?
carbon will almost always follow the octet rule. CO isn't an exception to this. The third bond here comes from a lone pair on O being shared with C. the hybridisation is sp for both O and C. Experimentally we find the bond length in CO is shorter than a C-O double bond and similar to the N-N triple bond length in N2. So a triple bond in CO here does sense.,Triple bond,How does oxygen get a triple bond with carbon?
"In some environments HCl does behave like an ionic compound, but as a gas it forms molecules (i.e. shows covalent bonding). Note that it is better to think of covalent and ionic bonding as being on a continuum rather than as distinctly different types of bonding. Most bonds have both ionic and covalent character and in many cases it is actually quite arbitrary to call something one or the other. HCl is a great example of this, it has a polar covalent bond as a gas - this can be expressed as the bond having a mixture of covalent and ionic character. However, when dissolved in water, HCl almost completely dissociates with the protons binding to water molecules - and so the behavior of HCl in water is best described as being ionic. One way of thinking of this is that the nature of bonding in some compounds changes depending on the environment.",Ion,Why the HCl isn't ionic?
"chlorophyll doesn't reflect green light, the natural shade of the whole plant is green, the true color, absorbing red and blue light from the sun's uv rays, then making the overall shade of the plant green because of the thylakoid",Color,What is the actual colour of the plant?
"CNS is the brain and spinal cord. PNS includes the cranial nerves and spinal nerves. We like to categorize and define things, but they are connected. Afferent means sensory information going to the brain, Efferent means motor information from the CNS. Efferent, or motor commands includes somatic n.s., or skeletal muscle system , sympathetic n.s. and parasympathetic n.s.",Cranial nerves,Are the cranial nerves part of the CNS and the spinal nerves part of the PNS?
"In this particular case only the hydrogen atom can rearrange, which it does, turning the primary carbocation into a more stable secondary carbocation. This is called a hydride shift or a 1,2 hydride shift, because it happens between carbon 1 (with the positive charge) and carbon 2 (with the extra hydrogen). Now, what you are referring to is something called an alkyl shift or a 1,2 alkyl shift, in which a CH3 group from an adjacent carbon (Carbon # 2) does what the hydrogen does in the alkyl shift, and literally moves to the positive charge, while the positive charge takes its place. As far as I know, an alkyl shift can only happen if 1. The swap will move the positive charge to a more stable place, making the carbocation more stable and 2. The swap involves a single adjacent methyl group swapping with the + charge. Turning a butyl chloride into a tert-butyl would satisfy rule one, but it goes against rule two. The alkyl shift is a strange enough reaction on it own, having a reaction which reformats the molecule so extensively seems like it could not happen except under extreme conditions (extremely high heat, say).",Butyl group,E can't the cation be arranged to tertiary butyl?
"all enzymes have an optimal temperature and pH level at which they work best at. If the enzyme is working at high temperatures or out of range pH levels, there is a chance it could become denatured. Also, enzymes are proteins, and proteins are affected by temperature and pH values. When the temperature is too high, or at extreme values of pH, the enzymes undergoes conformational change (ie. change in shape) of the active site, also known as denaturation. The substrates no longer fit into the shape of the active site to form an enzyme-substrate complex, so the rate of the enzymatic reaction decreases.",Enzyme,How does the enzyme Lipase breakdown lipids/fats in milk?
"All the chemicals are locked on one side of the egg and unlocked/released by molecules provided by sperm at time of fertilization. Once unlocked, the chemicals diffuse producing a gradient. Overtime, the chemicals will be uniformly distributed, and no longer be useful as location marker.",Molecule,How is the uneven distribution of the molecules in the egg kept like that?
"There are 20 'standard' amino acids encoded by the triplets of the genetic code. However there are two more, selenocysteine and pyrrolysine that are incorporated in response to a given triplet in combination with another signal. But they are then also incorporated via tRNA. There are other amino acids found in proteins, but they are modified after incorporation, for example hydroxylysine so there aren't tRNAs for these",Amino acid,How many different (natural) amino acids are there?
"Water is very common in the universe. At this time, we do not know how common liquid water might be in the universe but it is more likely that we would find it in either the solid or vapor form. This situation is nothing special about water, because the liquid phase of any chemical requires just the right ranges of both pressure and temperature. So, the liquid phase of mater is not all that common, relatively speaking. Just think about it, apart from liquid water, how many other naturally-occurring liquids do you encounter in your daily life? However, water does have a fairly wide range of temperatures and pressures it can be a liquid in, so it does have a better chance of being a liquid than many other substances. Hydrogen itself exists as a liquid in only the most extreme conditions, so it is extremely rare. Solid hydrogen is even more rare. Pure hydrogen mostly exists as a plasma in stars or elsewhere as a gas.",Universe,How common is water in the universe?
The controlled with prior processes - hydrolase phosphorylate and cAMP releases as the secondary precursor. Then cAMP can bind to CAP.,Cyclic adenosine monophosphate,Why will cAMP become activated?
"Hormones either interact with their receptors on the surface of cells, or can move across the membrane and act on receptors directly in the nucleus of the cell. Either way, the end result is typically an expression of some gene to either increase or decrease production of a certain protein.",Gene,Are genes switched on to enable their expression?
"Whether an E alkene or a Z alkene product is favored depends on how large the base is in the E2 reaction. Large bases (LDA, tert-butoxide) favor the least substituted product (Z) because there is too much steric hindrance to form the more thermodynamically favored E product. Smaller bases (-OH, -OCH3) will favor the E product.",Alkene,Is there a way of telling whether it will be an E or Z alkene?
"Biological molecules are chiral; they can detect the different isomers. If people put the stereoisomers in a reaction mix of (non-biological) chiral molecules, they would react differently too.",Stereoisomerism,But how would two stereoisomers not carry out the same biological reactions?
"Acids come in different strengths. Stronger acids dissociate more, so there is more H+ when they are dissolved in water. Thus, if you have any two acids in water with the same concentration, the pH will be lower (more H+) for the stronger acid. If you happened to have a diprotic acid that was just a little bit weaker than your monoprotic acid, it might be that the diprotic acid's double dissociation to give H+ just added up to match that of the monoprotic acid's single dissociation and they could have the same pH.",Acid,Does ph of a monoprotic acid and a diprotic acid is same?
"Passive transport basically does not require any form of energy compared to active transport. In the case of osmosis,the water moves from areas of HIGH WATER concentration to areas of LOW WATER concentration, which makes it a form of passive transport. It uses no energy to move, it just drifts into lower concentrations of WATER. WATER not other materials, only WATER. Osmosis deals with water.",Passive transport,Is osmosis also passive transport for water?
ECM is outsideof cell Cytoplasm-like material and cytoskeleton isinside of cells structural material,Cytoskeleton,What are cytoskeleton for?
"A cell stays small to allow easier transport of molecules and charged particles from organelles. If the intermembrane space of the mitochondria was increased, respiration would be less efficient, because now the electrons have to cross a larger space and lose much more energy.",Mitochondrion,What effect would increasing the colume of the intermembrane space have on the function of a mitochondrion?
"Technically, all people do have some amount of cancer in their bodies at any given time. mutations happen quite frequently, and while the damaged cells may not be malignant or available in large numbers, they still possess the qualities and damaged genetic code that many malignant, dangerous cancers have when they first develop. Because the amount of mutated cells in a healthy human is so small, there is no risk to the person's well-being. Oftentimes, these damaged cells will be destroyed or removed by the immune system, or by a built-in cellular system that employs tumor-suppressor genes to result in apoptosis, which is better known as 'cell suicide.' These cells know that they could become dangerous to the body, and thus destroy themselves to keep from spreading and polluting others anatomical structures.",Cancer,Are there many cancer cells in our body everyday?
"Meiosis indeed has a role in physical attributes. During P1, synapsis takes place. This is where the father and mother chromosome overlap and become mixed. This allows the new chromosome to be different from the mother and father chromosomes. This is essential as it causes variation. Variation helps people to be different from each other, allowing each person to be differentiated. It is also vital for survival. If many people/everyone had similar genes, the likelihood of all of them dying from a disease is the same (if it is potent, it is likely to wipe out those with similar genes). This is why sexual reproduction is better than asexual reproduction in this sense.",Meiosis,Does meiosis just determine your sex?
Through transpiration water forms droplets on the surface of the leaves. Those droplets transform into water vapor and leave the plant surface and become part of humidity in the atmosphere. That way water is back to the water cycle.,Water cycle,How would that water continue through the water cycle?
"With increase of temperature, the kinetic energy of the molecules of liquid increases which can overcome the intermolecular forces. Hence, the liquid starts flowing. In other words the viscosity of a liquid decreases with increase in temperature.",Viscosity,How will the viscosity of liquid be affected by increase in temperature?
"To prevent this the temperature at which the primers bind is chosen to not be too close so that more primers bind than DNA back together. Oftentimes, when you cool it down, it's not as cool as it originally was when all of the DNA was joined back together.",DNA,What measures should be taken to ensure that the possibility of DNA template interconnection rather than primers does not occur?
speed and temperature aren't the same thing. they are related in such way that increase in temperature increases the *average* speed of molecules. real speed can be changed with collisions between two molecules or collisions between molecules and the wall of the container,Temperature,Why is the speed increasing while the temperature is constant?
"The value will be either positive or negative. We could calculate the change in energy and the use the specific heat equations to see if the phase would change. If the reaction is exothermic (heat released), the entropy of the system is positive.",Entropy,How do people see the sign of entropy?
mechanical energy is potential energy + kinetic energy so as we know that in case of inelastic collision kinetic energy is not conserved hence mechanical energy will not be conserved even if potential energy is also mechanical energy is conserved when there is no net external force and all the forces inside the system are conservative as we are considering friction to be present which is a non conservative force hence mechanical energy will not be conserved,Inelastic collision,Can mechanical energy be conserved in case of inelastic collisions?
"The electric field arises from a distribution of charge in any non-uniform way. In other words you build up a little pile of positive ions somewhere, and there will be an E field associated with the pile. Same for negative ions.",Electric field,Where is the electric field coming from?
"three double bonds in the carbon hexagon is the structural formula for benzene. In a double bond, four electrons are shared between the carbon two atoms, compared with only two in a single bond. In fact, the structure of benzene is a little more complicated than shown and you will learn more about single and double bonds, and the benzene structure, in later videos. Benzene is not the best example that Sal could have chosen to explain the different types of formulae.",Double bond,What do three double bonds in the carbon hexagon signify ?
Human heart is a pumping organ which pumps the blood. Whole of the body. And deoxygenated blood require The pressure. To move into the alveoli. The blood does go to the heart to get oxygenated. From the right ventricle the blood goes to the lungs which uses diffusion to separate CO2 from O2. Then it goes to the left atrium to get pumped to the body.,Pulmonary alveolus,Do blood get filled by the alveoli?
"In an acidic medium, H+ will be present (as H3O+, hydronium, in water; the H+ joins H2O to create H3O+, an equivalent form) in solution; this is the definition of an acid. The acid will release H+, leaving behind its conjugate base (the anion of the acid); how much H+ released depends on the acid's dissociation constant- strong acids will effectively dissociate completely and not be present as combined ions afterwards, but weak acids will mostly remain non-dissociated, and little H+ will be produced. For bases, the Arrhenius and Bronsted-Lowry definitions are different; Arrhenius bases release OH-, while Bronsted-Lowry bases remove H+ from water (or another solvent, as the Bronsted-Lowry model works in non-aqueous solutions) to leave OH-, along with the base's conjugate acid (the base with an added H+ ion). Most common Arrhenius bases are strong bases which dissociate completely; many Bronsted-Lowry bases are weak bases, in which much of the base remains whole in solution. The end result is that an acidic solution will have remaining H+ (or H3O+) in solution (concentration determines pH), and a basic solution will have remaining OH- in solution (concentration determines pOH)",Base (chemistry),Why do you use oh- in a basic medium?
"If placing a red blood cell in a hypotonic solution, it will burst. A hypotonic solution has a low solute concentration than the inside of the cells (solute concentration in the cell is high). Osmotic forces then cause water from a solution to enter the cells. The cell eventually stretches and bursts in the process becoming lysis.",Red blood cell,Will red blood cell burst?
"An allele is a version of a gene. Like it can be either dominant, recessive or *co-dominant*. If we speak about classic dominance patterns, a gene could be either dominant or recessive. You just observe phenotype and occurrence at which gene is displayed. If an allele is *visible* in phenotype in most cases (homozygous and heterozygous) then it is dominant. If an allele is masked by another one (dominant) and is visible only in homozygous situation, then it is recessive.",Dominance (genetics),Can a recessive gene become dominant and vice versa?
Molecules that are polar and ionic compounds are often (but not always) soluble in water. A polar bond is a type of covalent bond. Anything that is charged or polar is going to be at least somewhat hydrophilic.,Covalent bond,Are covalent bonds not very soluble?
"Choose a direction for voltage, and then make sure you point the current arrow INTO the positive sign of the voltage. Choose a direction for current, and then make sure you label the voltage so the positive voltage sign is on the end of the resistor where the current is coming in. ",Resistor,How to give polarity signs to resistor?
"The most common way for the sequence of nucleotides in DNA to affect as trait is by being transcribed into mRNA and then translated into protein. However, DNA also encodes many other types of RNA, some of which will affect traits. In addition, changes in control sequences in the DNA can affect whether and at what rate RNAs get made (sequences that get transcribed within an RNA can also affect its stability and processing). These changes can affect traits indirectly by influencing how much of an RNA is present in cell.",Protein,Is it the order of the amino acids in the proteins?
"In natural process/system, energy tend go from a state of high energy to a state of low energy. its called spontaneous reaction. it is spontaneous to go downhill than uphill. similarly, when energy is released,(from high to low energy level) it is said spontaneous. hence, -ve enthalpy(heat content) which is very low means spontaneous. however, increase in entropy(a degree of disorder) is favored as spontaneous. spontaneity depends on these 2 things. -ve enthalpy and + entropy as well as temperature in kelvin.",Energy,How energy being released in the reaction can cause it to become spontaneous?
"Formal charge is the charge on a specific atom in a specific molecule. Formal charges are incredibly useful in chemistry because they help dictate how a reaction will proceed. Ionic bonds are bonds formed between two charged molecules. Charged molecules are called ions, which is why it's called an ionic bond. Ionic bonds are really useful for forming strong solids, even though they aren't as strong as covalent bonds. You can thank ionic bonds for the fact that table salt- NaCl- exists! Polarity indicates uneven electronegativity between two atoms in a bond. This uneven electronegativity helps chemists figure out how exactly various reaction proceed.",Ionic bonding,"What are the purposes of difference between: polarity, ionic bonds, and 'formal charge'?"
Both free-falling objects and projectiles have gravity as the only force acting significantly on them.,Free fall,How are projectiles and  freefalling objects different?
"Light does not care that we would like to be able to describe it in terms of things we are familiar with like waves and particles. Light is just light, it behaves how it does. In some situations it behaves in ways that seem particle-like to us, and in other situations it behaves in ways that seem wave-like. But it is neither of those things, it is its own thing, and our intuition that it must behave like the waves or particles we are used to does not apply, so we have to just deal with that and understand it as it is. Waves that we are familiar with need a medium. Light does not. Particles that we are familiar with do not diffract and refract and get polarized. Light does. For hundreds of years the the seeming dual nature of light puzzled physicists, and now finally we have learned that we just have to accept it on its own terms.",Wave–particle duality,How can light travel in both transverse waves and particles?
Light is neither a wave nor a particle.Sometimes it acts in ways that seem wavelike to us.,Light,Does this make light its own medium?
"If people put a charged object somewhere in space and people will notice there is a force on it, that force is caused by the electric field at that location. The magnitude of the force is proportional to two things: the size of the charge and the intensity (magnitude) of the electric field. The direction of the force is determined by the direction of the electric field vector.",Electric field,Is electric field just how reactive it is when a charge is placed in it?
this is the case with a plant cell that has a rigid cell wall thus in a fixed volume hydrostatic pressure will increase until osmotic pressure is opposed. But with an RBC the volume is not fixed (due to lack of cell wall) so osmotic pressure increases unopposed until the cell lyses.,Cell (biology),"Why doesn't the pressure of the cell (even a red blood cell that isn't rigid), balance out the net inflow?"
"there are three up and three down C's, that alternate around the ring.on an up C, the axial H is up. On a down C the axial H is down.",Hydrogen,How to know axial hydrogens up or down?
"lacking the Y chromosome and SRY gene definitely leads to the formation of the bio-sex female. However, WTN$ is essential for female reproductive system, urinary tract development, etc. Now, what would happen? First, in the absence of SRY which produces TDF, testes will definitely _not_ develop an embryo is determined to become female. Since WTN4 mutated, some kind of congenital syndrome will occur. That human is supposed to be female but with congenital disease: from the undeveloped uterus, hyperandrogenism, anomalies of kidney, etc. Usually, it becomes a severe case of malformations",Gene,What would the results be for an XX person to have missing WNT4 and SRY genes?
"all the reducing agents undergo oxidation themselves and oxidation is the loss of electrons and that reduction is gain of electrons. Ionistasion potential determines the ease with with an element can lose an electron. Lithium has high ionisation potential ,. i.e it can lose electrons with much ease than any other metal and reducing agents lose electrons( the easier they lose electrosn the stronger reducing agents they are) and that lithium can lose electrons with greater ease. hence it is strong reducing agent.",Reducing agent,How lithium behaves as a strong reducing agent?
"Krypton is a noble gas, so it's outer most electron shell is full, and therefore it also has a valency of zero. Its outer most shell has 8 electrons and fulfils the octet rule.",Krypton,Wouldn't krypton either need to have 32 valence electrons or be on the 2nd row to be full?
"Waves are disturbances right? So if you consider an example of force: say you're pulling a rope in x direction and your friend is pulling it in -x direction, with equal forces. It doesn't move as the forces cancel out. Same is with a wave. 1 wave disturbance is moving the rope up the other is moving it down so if they're equal they cancel each other out. If not then you use the same principle. In case of EM waves, I think it's the electromagnetic force that causes it.",Wave,Why waves behave this way?
"When the sodium ions move down their concentration gradient, the antiporter uses the energy transferred to it to change its shape so that it can accept the other molecules and push them in the opposite direction, against their concentration gradient. You can sort of think of the sodium ions going through the antiporter like taking your hand out of a glove and turning it inside out (and stretching it out), it is then ready to accept a hand going into it (the opposite direction) and help it in by using the stored energy from when your hand stretched it.",Antiporter,How do the molecules moving down their concentration gradient in a antiporter provide the energy for the others to move in the opposite direction?
"It has to do with symmetry. The C-O bond is indeed quite polarised, but because the CO2 molecule has a linear shape the dipoles from both the C-O bonds cancel out and this results in CO2 being non polar.",Chemical polarity,How can CO2 be a nonpolar molecule?
"understand that 'species' is a human construct that doesn't have an exact match in nature. What actual exist are breeding populations in a given area. We may or may not classify them as the same species as some other similar breeding population somewhere else. What we usually, but not always, use as a dividing mark between species is whether the members continue to interbreed given the opportunity. If they cannot or will not normally breed, we tend to call them different species. If they are distinctly different but can and do naturally interbreed given the chance, we tend to call them different subspecies.",Subspecies,Are they consider a different species or a subspecies?
